V1,V2,V4,filter_$,VAR00002,hour
D69823,1000019,10/17/2014,1,0,6
C48381,1000019,10/17/2014,1,0,6
D70921,1000019,10/17/2014,1,0,6
C76020,1000019,10/17/2014,1,0,6
C54401,1000019,10/17/2014,1,0,6
B68933,1000019,10/17/2014,1,0,7
A77605,1000019,10/17/2014,1,0,7
B57022,1000019,10/17/2014,1,0,7
E50517,1000019,10/17/2014,1,0,7
B46087,1000019,10/17/2014,1,0,7
D66714,1000019,10/17/2014,1,0,7
E50020,1000019,10/17/2014,1,0,7
D68316,1000019,10/17/2014,1,0,7
C62580,1000019,10/17/2014,1,0,7
D75997,1000019,10/17/2014,1,0,7
D72583,1000019,10/17/2014,1,0,7
E78948,1000019,10/17/2014,1,0,7
A67761,1000019,10/17/2014,1,0,7
A67761,1000019,10/17/2014,1,0,7
B28833,1000019,10/17/2014,1,0,7
E52501,1000019,10/17/2014,1,0,7
A77085,1000019,10/17/2014,1,0,7
B70334,1000019,10/17/2014,1,0,7
C57228,1000019,10/17/2014,1,0,7
C66835,1000019,10/17/2014,1,0,7
B76328,1000019,10/17/2014,1,0,7
D73337,1000019,10/17/2014,1,0,7
D76974,1000019,10/17/2014,1,0,7
A54560,1000019,10/17/2014,1,0,7
E57518,1000019,10/17/2014,1,0,7
A78028,1000019,10/17/2014,1,0,7
C62283,1000019,10/17/2014,1,0,7
B56833,1000019,10/17/2014,1,0,7
B79583,1000019,10/17/2014,1,0,7
D73450,1000019,10/17/2014,1,0,7
D48631,1000019,10/17/2014,1,0,7
D73340,1000019,10/17/2014,1,0,7
B75572,1000019,10/17/2014,1,0,7
C78414,1000019,10/17/2014,1,0,7
B72011,1000019,10/17/2014,1,0,7
B72011,1000019,10/17/2014,1,0,7
C56821,1000019,10/17/2014,1,0,7
A76580,1000019,10/17/2014,1,0,7
A30695,1000019,10/17/2014,1,0,7
A45970,1000019,10/17/2014,1,0,7
A78345,1000019,10/17/2014,1,0,7
D48096,1000019,10/17/2014,1,0,7
B79642,1000019,10/17/2014,1,0,7
A77940,1000019,10/17/2014,1,0,7
A64356,1000019,10/17/2014,1,0,7
A77282,1000019,10/17/2014,1,0,7
C47205,1000019,10/17/2014,1,0,7
E63063,1000019,10/17/2014,1,0,7
A70622,1000019,10/17/2014,1,0,7
C79578,1000019,10/17/2014,1,0,7
B20419,1000019,10/17/2014,1,0,7
B52314,1000019,10/17/2014,1,0,7
B75622,1000019,10/17/2014,1,0,7
D78901,1000019,10/17/2014,1,0,7
D64016,1000019,10/17/2014,1,0,7
A70017,1000019,10/17/2014,1,0,7
D78901,1000019,10/17/2014,1,0,7
C64554,1000019,10/17/2014,1,0,7
D35010,1000019,10/17/2014,1,0,7
C63564,1000019,10/17/2014,1,0,7
C76110,1000019,10/17/2014,1,0,7
B74685,1000019,10/17/2014,1,0,7
D69438,1000019,10/17/2014,1,0,7
D47752,1000019,10/17/2014,1,0,7
A67645,1000019,10/17/2014,1,0,7
B40297,1000019,10/17/2014,1,0,7
E45140,1000019,10/17/2014,1,0,7
A67187,1000019,10/17/2014,1,0,7
C68745,1000019,10/17/2014,1,0,7
A57047,1000019,10/17/2014,1,0,7
A79068,1000019,10/17/2014,1,0,7
B54587,1000019,10/17/2014,1,0,7
C26994,1000019,10/17/2014,1,0,7
B33565,1000019,10/17/2014,1,0,7
B49285,1000019,10/17/2014,1,0,7
B74618,1000019,10/17/2014,1,0,7
B69321,1000019,10/17/2014,1,0,7
A77322,1000019,10/17/2014,1,0,7
C72756,1000019,10/17/2014,1,0,7
B29253,1000019,10/17/2014,1,0,7
E68426,1000019,10/17/2014,1,0,7
B73543,1000019,10/17/2014,1,0,7
D56389,1000019,10/17/2014,1,0,7
A56096,1000019,10/17/2014,1,0,7
D64051,1000019,10/17/2014,1,0,7
D59189,1000019,10/17/2014,1,0,7
B63209,1000019,10/17/2014,1,0,7
D74660,1000019,10/17/2014,1,0,7
