,,9月笔数,9月营业额,10月笔数,10月营业额,11月笔数,11月营业额,12月笔数,12月营业额,1月笔数,1月营业额
1000006,一餐面包房,3,3320,9,3960,225,122430,26,13900,11,7430
1000007,一餐梦园面包房,19443,7157560,15296,5837156,12423,4762894,13125,5128540,7161,2826420
1000176,一餐甜魔咖啡,2008,2755880,6384,8973805,6983,10036702,7397,11024010,4067,6131020
1000242,一餐达通水果店,0,0,1634,2087070,5404,7128790,4442,6748856,1725,2562700
1000241,一餐达通蔬菜店,0,0,102,47280,269,148520,286,159250,73,38550
1000204,一餐松叶蔬菜,0,0,0,0,16,2200,0,0,0,0
1000244,三餐时光咖啡,0,0,0,0,248,479000,2502,4686600,861,1584200
1000136,四餐百味林,1273,1033410,741,997710,618,1015370,781,1016098,632,954340
1000186,四餐甜点,1017,1173594,2096,2669840,2267,2940160,2104,2730789,1068,1284730
1000246,四餐面包房,0,0,0,0,0,0,252,221690,429,357870
1000239,四餐达通水果店,0,0,4791,5443150,6011,6811520,4432,5269190,3586,4405050
1000175,哈乐浓清水果店,1839,1809760,2747,2527334,2628,2336335,2964,2879307,1249,1233963
合计,,25583,13933524,33800,28587305,37092,35783921,38311,39878230,20862,21386273
一餐合计,,21454,9916760,23425,16949271,25320,22201536,25276,23074556,13037,11566120
三餐合计,,0,0,0,0,248,479000,2502,4686600,861,1584200
四餐合计,,2290,2207004,7628,9110700,8896,10767050,7569,9237767,5715,7001990
哈乐合计,,1839,1809760,2747,2527334,2628,2336335,2964,2879307,1249,1233963
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
