商家类型,月份,性别,学位,成交笔数
咖啡,1,男,,1925
咖啡,1,女,,3003
咖啡,1,,本科,4986
咖啡,1,,博士,681
咖啡,1,,硕士,1186
咖啡,9,男,,699
咖啡,9,女,,1309
咖啡,9,,本科,1794
咖啡,9,,博士,67
咖啡,9,,硕士,147
咖啡,10,男,,2443
咖啡,10,女,,3941
咖啡,10,,本科,5467
咖啡,10,,博士,301
咖啡,10,,硕士,616
咖啡,11,男,,2794
咖啡,11,女,,4437
咖啡,11,,本科,6082
咖啡,11,,博士,386
咖啡,11,,硕士,763
咖啡,12,男,,3830
咖啡,12,女,,6069
咖啡,12,,本科,8205
咖啡,12,,博士,553
咖啡,12,,硕士,1141
面包,1,男,,6312
面包,1,女,,2989
面包,1,,本科,5759
面包,1,,博士,1351
面包,1,,硕士,2191
面包,9,男,,16687
面包,9,女,,5049
面包,9,,本科,17899
面包,9,,博士,1399
面包,9,,硕士,2438
面包,10,男,,13078
面包,10,女,,5064
面包,10,,本科,13472
面包,10,,博士,1682
面包,10,,硕士,2988
面包,11,男,,10848
面包,11,女,,4685
面包,11,,本科,11286
面包,11,,博士,1542
面包,11,,硕士,2705
面包,12,男,,11278
面包,12,女,,5010
面包,12,,本科,12171
面包,12,,博士,1530
面包,12,,硕士,2587
蔬果,1,男,,3868
蔬果,1,女,,2765
蔬果,1,,本科,2877
蔬果,1,,博士,1430
蔬果,1,,硕士,2326
蔬果,9,男,,904
蔬果,9,女,,935
蔬果,9,,本科,1805
蔬果,9,,博士,11
蔬果,9,,硕士,23
蔬果,10,男,,5118
蔬果,10,女,,4156
蔬果,10,,本科,5230
蔬果,10,,博士,1569
蔬果,10,,硕士,2475
蔬果,11,男,,7735
蔬果,11,女,,7653
蔬果,11,,本科,8276
蔬果,11,,博士,2281
蔬果,11,,硕士,3771
蔬果,12,男,,6644
蔬果,12,女,,5480
蔬果,12,,本科,7671
蔬果,12,,博士,1693
蔬果,12,,硕士,2760
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
