V1,V2,V4,filter_$,VAR00002,hour
D76571,1000233,10/17/2014,1,3,6
D78744,1000233,10/17/2014,1,3,6
A77782,1000233,10/17/2014,1,3,6
D76425,1000233,10/17/2014,1,3,6
A72613,1000233,10/17/2014,1,3,6
A77782,1000233,10/17/2014,1,3,6
C77595,1000233,10/17/2014,1,3,6
C74937,1000233,10/17/2014,1,3,6
D62431,1000233,10/17/2014,1,3,6
B48370,1000233,10/17/2014,1,3,6
A59549,1000233,10/17/2014,1,3,6
D63841,1000233,10/17/2014,1,3,6
A79592,1000233,10/17/2014,1,3,6
D70538,1000233,10/17/2014,1,3,6
D56864,1000232,10/17/2014,1,3,6
D70442,1000233,10/17/2014,1,3,6
A64816,1000233,10/17/2014,1,3,6
C76847,1000233,10/17/2014,1,3,6
E77426,1000233,10/17/2014,1,3,6
B76663,1000233,10/17/2014,1,3,6
E79118,1000233,10/17/2014,1,3,6
B76599,1000233,10/17/2014,1,3,6
B76599,1000233,10/17/2014,1,3,6
C78231,1000233,10/17/2014,1,3,6
E77710,1000233,10/17/2014,1,3,6
E79118,1000233,10/17/2014,1,3,6
D50566,1000233,10/17/2014,1,3,6
D65870,1000233,10/17/2014,1,3,6
C59217,1000233,10/17/2014,1,3,6
E79428,1000233,10/17/2014,1,3,6
C59217,1000233,10/17/2014,1,3,6
C74172,1000233,10/17/2014,1,3,6
D70442,1000233,10/17/2014,1,3,6
D58445,1000233,10/17/2014,1,3,6
D73957,1000233,10/17/2014,1,3,6
A66823,1000233,10/17/2014,1,3,6
B71561,1000233,10/17/2014,1,3,6
A59553,1000233,10/17/2014,1,3,6
D58445,1000233,10/17/2014,1,3,6
B78556,1000233,10/17/2014,1,3,6
D51145,1000233,10/17/2014,1,3,6
B78556,1000233,10/17/2014,1,3,6
E65846,1000233,10/17/2014,1,3,6
B78057,1000233,10/17/2014,1,3,6
D25616,1000233,10/17/2014,1,3,6
D51145,1000233,10/17/2014,1,3,6
A58815,1000233,10/17/2014,1,3,6
