V1,V2,V4,filter_$,VAR00002,hour
A56375,1000001,10/17/2014,1,1,5
A74652,1000001,10/17/2014,1,1,6
A68988,1000001,10/17/2014,1,1,6
A68988,1000001,10/17/2014,1,1,6
D73451,1000001,10/17/2014,1,1,6
D33448,1000001,10/17/2014,1,1,6
D73451,1000001,10/17/2014,1,1,6
C46040,1000001,10/17/2014,1,1,6
D71366,1000001,10/17/2014,1,1,6
E77586,1000001,10/17/2014,1,1,6
E77586,1000011,10/17/2014,1,1,6
D47296,1000001,10/17/2014,1,1,6
B57412,1000001,10/17/2014,1,1,6
C32065,1000001,10/17/2014,1,1,6
E70310,1000001,10/17/2014,1,1,6
B47839,1000001,10/17/2014,1,1,6
B71994,1000003,10/17/2014,1,1,6
A67635,1000011,10/17/2014,1,1,6
D71366,1000001,10/17/2014,1,1,6
A46699,1000003,10/17/2014,1,1,6
A49165,1000011,10/17/2014,1,1,6
B12919,1000011,10/17/2014,1,1,6
A40652,1000003,10/17/2014,1,1,6
A49165,1000011,10/17/2014,1,1,6
D77401,1000011,10/17/2014,1,1,6
A79391,1000001,10/17/2014,1,1,6
D76991,1000001,10/17/2014,1,1,6
B73897,1000010,10/17/2014,1,1,6
D76991,1000011,10/17/2014,1,1,6
B74107,1000001,10/17/2014,1,1,6
C65256,1000001,10/17/2014,1,1,6
B67011,1000010,10/17/2014,1,1,6
B76463,1000010,10/17/2014,1,1,6
B67011,1000001,10/17/2014,1,1,6
B74107,1000001,10/17/2014,1,1,6
B76269,1000001,10/17/2014,1,1,6
B67011,1000001,10/17/2014,1,1,6
C59489,1000010,10/17/2014,1,1,6
E77057,1000001,10/17/2014,1,1,6
A78777,1000003,10/17/2014,1,1,6
D46225,1000001,10/17/2014,1,1,6
D71222,1000003,10/17/2014,1,1,6
A56464,1000003,10/17/2014,1,1,6
A68467,1000003,10/17/2014,1,1,6
E33182,1000011,10/17/2014,1,1,6
D43702,1000010,10/17/2014,1,1,6
D60927,1000011,10/17/2014,1,1,6
E29629,1000011,10/17/2014,1,1,6
D30447,1000003,10/17/2014,1,1,6
E69009,1000011,10/17/2014,1,1,6
A56464,1000003,10/17/2014,1,1,6
D30447,1000003,10/17/2014,1,1,6
B64172,1000001,10/17/2014,1,1,6
A77747,1000011,10/17/2014,1,1,6
A68467,1000003,10/17/2014,1,1,6
D43702,1000010,10/17/2014,1,1,6
D73057,1000001,10/17/2014,1,1,6
D71222,1000003,10/17/2014,1,1,6
B64172,1000003,10/17/2014,1,1,6
B78174,1000010,10/17/2014,1,1,6
C59489,1000001,10/17/2014,1,1,6
D60927,1000001,10/17/2014,1,1,6
C67012,1000011,10/17/2014,1,1,6
D30447,1000001,10/17/2014,1,1,6
D79297,1000001,10/17/2014,1,1,6
C71853,1000011,10/17/2014,1,1,6
A55608,1000011,10/17/2014,1,1,6
C78494,1000011,10/17/2014,1,1,6
C67012,1000001,10/17/2014,1,1,6
D74228,1000010,10/17/2014,1,1,6
B23869,1000001,10/17/2014,1,1,6
C78494,1000003,10/17/2014,1,1,6
E43854,1000001,10/17/2014,1,1,6
D79297,1000001,10/17/2014,1,1,6
D69687,1000010,10/17/2014,1,1,6
B67011,1000001,10/17/2014,1,1,6
B70499,1000011,10/17/2014,1,1,6
D69445,1000001,10/17/2014,1,1,6
C48253,1000011,10/17/2014,1,1,6
D74228,1000010,10/17/2014,1,1,6
B73960,1000011,10/17/2014,1,1,6
D69445,1000011,10/17/2014,1,1,6
D79028,1000011,10/17/2014,1,1,6
B76348,1000001,10/17/2014,1,1,6
A37752,1000001,10/17/2014,1,1,6
E73040,1000003,10/17/2014,1,1,6
A78457,1000011,10/17/2014,1,1,6
E27302,1000001,10/17/2014,1,1,6
C67012,1000011,10/17/2014,1,1,6
A37752,1000001,10/17/2014,1,1,6
B73800,1000001,10/17/2014,1,1,6
C72384,1000003,10/17/2014,1,1,6
B78174,1000001,10/17/2014,1,1,6
A78457,1000011,10/17/2014,1,1,6
